"","CC1_058_W","CC1_059_W","CC1_060_W","CC1_881_S","CC1_883_I","CC1_884_T","CC1_885_T","CC1_886_T","CC1_890_S","CC1_894_P","CC1_895_T","CC1_899_I","CC1_901_T","CC1_906_P","CC1_907_S","CC1_910_I","CC1_912_S","CC1_917_I","CC1_919_I","CC1_920_T","CC1_921_P","CC1_922_I","CC1_923_S","CC1_924_I","CC2_882_S","CC2_889_S","CC2_911_S","CM1_057_W","CM1_058_W","CM1_059_W","CM1_060_W","CM1_882_S","CM1_883_I","CM1_884_T","CM1_885_T","CM1_889_S","CM1_894_P","CM1_895_T","CM1_899_I","CM1_901_T","CM1_906_P","CM1_907_S","CM1_910_I","CM1_911_S","CM1_917_I","CM1_919_I","CM1_920_T","CM1_921_P","CM1_922_I","CM1_923_S","CM1_924_I","CM2_890_S","CM2_912_S"
"Otu00657",0.00907441016333938,0.0644982954021929,0.0765403750478377,0,0,0,0,0,0.0358551452133381,0,0.00919117647058824,0.0718584388754154,0,0.0272182906913446,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0717360114777618,0.0368154624942476,0.0549903766840803,0.0181735574738755,0,0,0,0,0.0276319425255595,0,0.0272553829381303,0.0640732265446224,0.00909421607857403,0.0271272266931911,0,0.0180277627546422,0,0,0,0,0,0,0,0,0,0
"Otu00829",0.0453720508166969,0.0368561688012531,0.105243015690777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0627690100430416,0.0276115968706857,0.0183301255613601,0.0817810086324398,0,0,0,0,0,0,0,0,0,0,0,0.00901388137732108,0,0,0,0,0,0,0,0,0,0
"Otu01358",0.00907441016333938,0,0.0287026406429392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0368154624942476,0,0.00908677873693776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00490",0,0.0368561688012531,0.0191350937619594,0,0,0,0,0,0,0,0.15625,0,0.00904159132007233,0,0,0,0,0.073327222731439,0,0.0181093806591815,0,0,0,0,0,0,0,0.00896700143472023,0.0184077312471238,0,0,0,0,0,0,0,0,0.172617425274825,0,0.0181884321571481,0,0,0,0,0.0633885719460292,0.00905961224859576,0,0,0,0,0,0,0.00897263346792283
"Otu00494",0.108892921960073,0.0276421266009398,0,0.0539811066126856,0,0,0,0,0.0179275726066691,0,0,0,0,0,0.0089863407620417,0,0,0.0458295142071494,0,0.153929735603042,0,0,0,0,0,0,0,0.0448350071736012,0.092038656235619,0.0183301255613601,0.0181735574738755,0,0,0,0,0.0552638850511191,0,0,0,0,0,0.0275938189845475,0,0,0.0362220411120167,0.00905961224859576,0.326146040949447,0,0,0,0,0.0813522552652987,0.0179452669358457
"Otu00583",0.0181488203266788,0.221137012807519,0.0382701875239189,0,0,0,0,0.0182832068744858,0,0,0,0,0,0.0272182906913446,0.0089863407620417,0,0,0,0,0,0,0.0180995475113122,0,0,0,0.0182431816108729,0,0.0896700143472023,0.0368154624942476,0.128310878929521,0.036347114947751,0,0,0,0,0.0184212950170397,0,0.0181702552920869,0,0,0.108508906772764,0.00919793966151582,0,0,0,0,0,0,0.00905305087814593,0,0.00906782734856728,0,0
"Otu00780",0,0,0.200918484500574,0,0,0.0901875901875902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00896700143472023,0,0,0.109041344843253,0,0,0.108607113765952,0,0,0,0,0,0,0.0361696355909214,0,0.00901388137732108,0,0,0,0,0,0,0,0,0,0
"Otu00877",0,0.0737123376025062,0,0,0,0,0,0,0,0,0,0.00898230485942693,0,0,0.0179726815240834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0458253139034002,0,0,0,0,0,0.00921064750851985,0,0,0,0,0,0.165562913907285,0,0,0,0,0,0,0,0,0,0.0271174184217663,0
"Otu03274",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00902608538676776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00908017797148824,0,0,0,0,0,0.00904568068747173,0,0,0
"Otu00444",0.0907441016333938,0.110568506403759,0.0191350937619594,0,0,0,0,0,0,0,0,0.00898230485942693,0,0,0,0.01850994909764,0,0.0549954170485793,0.0987521321483077,0,0,0,0,0,0,0,0,0.143472022955524,0.14726184997699,0.0916506278068005,0.0272603362108133,0,0,0,0,0,0,0,0,0,0.0271272266931911,0,0.00901388137732108,0.0272405339144647,0.144888164448067,0.117774959231745,0.00905961224859576,0,0,0,0,0,0
