Group,Comparison,SIMPER,OTU,krusk_p.val,fdr_krusk_p.val,Taxonomy,Left.mean.abund,Left.stdev,Right.mean.abund,Right.stdev
Summer_Wild,Male_Female,0.020166009,Otu00163,0.064077506,0.176385394,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminiclostridium_6,0.001126798,0.000975104,0.030624198,0.000515707
Summer_Wild,Male_Female,0.019686385,Otu00091,0.064077506,0.176385394,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.029305453,0.02739986,0.000473102,0.000176653
Summer_Wild,Male_Female,0.015260448,Otu00195,0.064077506,0.176385394,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.022635917,0.024975601,0.000295468,8.96E-05
Summer_Wild,Male_Female,0.01323258,Otu00214,0.064077506,0.176385394,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.001982483,0.000652014,0.021349017,0.002452736
Summer_Wild,Male_Female,0.011780211,Otu00272,0.064077506,0.176385394,Bacteroidetes - Bacteroidia - Bacteroidales - Rikenellaceae - Alistipes,0.000414924,0.000371444,0.017685948,0.006956521
All,Content_Mucosa,0.010387133,Otu00074,0.065923302,0.177948179,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides,0.001796168,0.008980839,0.015306591,0.071454075
All,IBA_Spring,0.021096931,Otu00011,0.067846954,0.177948179,Bacteroidetes - Bacteroidia - Bacteroidales - Rikenellaceae - Alistipes,0.039129498,0.04560739,0.004130814,0.004713922
Torpor,Female_Male,0.064695506,Otu00049,0.067889155,0.177948179,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia,0,0,0.098286223,0.128392567
Torpor,Female_Male,0.033094622,Otu00035,0.067889155,0.177948179,Bacteria_unclassified - Bacteria_unclassified - Bacteria_unclassified - Bacteria_unclassified - Bacteria_unclassified,0,0,0.050270283,0.060836109
All,SummerLab_Spring,0.016964463,Otu00127,0.068120787,0.177948179,Bacteroidetes - Bacteroidia - Bacteroidales - Porphyromonadaceae - Parabacteroides,0,0,0.028484363,0.060545093
Summer_Lab,Female_Male,0.010143898,Otu00013,0.069356995,0.179347382,Bacteroidetes - Bacteroidia - Bacteroidales - Porphyromonadaceae - Parabacteroides,0.001610765,0.002279506,0.017211501,0.017685223
All,SummerWild_SummerLab,0.018493836,Otu00018,0.076661747,0.196254072,Bacteroidetes - Bacteroidetes_unclassified - Bacteroidetes_unclassified - Bacteroidetes_unclassified - Bacteroidetes_unclassified,0.00177889,0.002854276,0.031836893,0.042081599
Spring,Male_Female,0.018385744,Otu00001,0.078642897,0.199332491,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia,5.82E-05,8.23E-05,0.02920191,0.026410983
All,Torpor_Spring,0.016003335,Otu00127,0.081450694,0.203946426,Bacteroidetes - Bacteroidia - Bacteroidales - Porphyromonadaceae - Parabacteroides,0,0,0.028484363,0.060545093
All,SummerWild_Spring,0.023577204,Otu00002,0.08205657,0.203946426,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides,0,0,0.042847746,0.057676632
All,SummerWild_IBA,0.015981778,Otu00008,0.085830546,0.211063851,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.001500335,0.001493586,0.029305103,0.035591469
All,SummerLab_IBA,0.022233458,Otu00011,0.087014349,0.211063851,Bacteroidetes - Bacteroidia - Bacteroidales - Rikenellaceae - Alistipes,0.009557389,0.017441204,0.039129498,0.04560739
Spring,Male_Female,0.013307242,Otu00053,0.087393626,0.211063851,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.02297928,0.018342305,0.002060391,0.004607174
All,SummerWild_SummerLab,0.011714713,Otu00039,0.091444207,0.218782401,Bacteroidetes - Bacteroidia - Bacteroidales - Prevotellaceae - Prevotellaceae_UCG-003,0.019901281,0.018964909,0.005775406,0.013868096
All,SummerLab_Spring,0.032373517,Otu00074,0.093203391,0.220393408,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides,0.000106563,0.00035343,0.05432007,0.124989396
All,SummerLab_Spring,0.040473089,Otu00045,0.093839381,0.220393408,Firmicutes - Bacilli - Lactobacillales - Lactobacillaceae - Lactobacillus,0.010931163,0.014220122,0.071894687,0.087797191
All,SummerLab_IBA,0.027064969,Otu00010,0.097966524,0.22799482,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia,0.006826953,0.006604766,0.043610769,0.096239771
All,Male_Female,0.010824926,Otu00013,0.100436905,0.231638266,Bacteroidetes - Bacteroidia - Bacteroidales - Porphyromonadaceae - Parabacteroides,0.012460602,0.023258158,0.009472566,0.024873152
All,SummerLab_Torpor,0.017639367,Otu00020,0.10305253,0.235548639,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminococcaceae_ge,0.006740274,0.014514429,0.030172596,0.03564347
All,Male_Female,0.015756056,Otu00012,0.104093839,0.235823211,Verrucomicrobia - WCHB1-41 - WCHB1-41_or - WCHB1-41_fa - WCHB1-41_ge,0.022951769,0.044970065,0.005248251,0.024783204
All,SummerWild_Spring,0.011720886,Otu00001,0.105486226,0.236881349,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia,0.003892491,0.006152169,0.020875134,0.025831289
All,SummerWild_Torpor,0.018246154,Otu00022,0.112923661,0.251377888,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia,0.005972603,0.008114054,0.028520646,0.087923441
All,SummerLab_IBA,0.025751285,Otu00004,0.122982276,0.27140916,Bacteroidetes - Bacteroidia - Bacteroidales - Porphyromonadaceae - Odoribacter,0.00410277,0.008044133,0.045076368,0.073939053
Summer_Lab,Female_Male,0.032136337,Otu00018,0.127061584,0.278015089,Bacteroidetes - Bacteroidetes_unclassified - Bacteroidetes_unclassified - Bacteroidetes_unclassified - Bacteroidetes_unclassified,0.017802977,0.024708133,0.056396247,0.058464679
All,SummerLab_Torpor,0.023062851,Otu00049,0.12854405,0.278875227,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia,0,0,0.039314489,0.089838367
All,SummerLab_IBA,0.015051848,Otu00003,0.131943315,0.283844443,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.026281412,0.033493043,0.001368914,0.002370314
All,Torpor_Spring,0.060148881,Otu00018,0.138760178,0.296021713,Bacteroidetes - Bacteroidetes_unclassified - Bacteroidetes_unclassified - Bacteroidetes_unclassified - Bacteroidetes_unclassified,0.000105973,0.000151297,0.106845255,0.116218789
