Comparison,SIMPER,OTU,krusk_p.val,fdr_krusk_p.val,Taxonomy,Left.mean.abund,Left.stdev,Right.mean.abund,Right.stdev
SummerLab_Spring,0.023111755,Otu00032,0.635832943,0.849758045,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminococcaceae_ge,0.039249059,0.071094313,0.009790489,0.013213132
SummerLab_Spring,0.019451955,Otu00132,0.627043013,0.849758045,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.00120763,0.00268789,0.032326466,0.064261017
SummerWild_Torpor,0.043531321,Otu00010,0.646767404,0.85339757,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.004447253,0.007599524,0.076442411,0.145687578
SummerLab_IBA,0.013201051,Otu00006,0.651644784,0.85339757,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminococcaceae_UCG-013,0.005006691,0.01009341,0.020530978,0.048501023
IBA_Spring,0.025570897,Otu00002,0.65997959,0.85339757,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.001886292,0.002504658,0.045653947,0.059750375
Torpor_Spring,0.032115225,Otu00022,0.662427485,0.85339757,Firmicutes - Erysipelotrichia - Erysipelotrichales - Erysipelotrichaceae - Coprobacillus,0.056076006,0.124473115,0.001674107,0.003348214
IBA_Spring,0.010319941,Otu00017,0.669815358,0.85521068,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminococcaceae_ge,0.018728398,0.033278838,0.002469508,0.001773173
SummerLab_Spring,0.054430143,Otu00018,0.698860617,0.879658995,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.020365954,0.029335603,0.091632438,0.128815817
SummerLab_Spring,0.039708953,Otu00045,0.705456986,0.879658995,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.011283625,0.017907481,0.066381943,0.116511742
Torpor_Spring,0.018498416,Otu00132,0.707418073,0.879658995,Firmicutes - Clostridia - Clostridiales - Christensenellaceae - Christensenellaceae_R-7_group,0.001307662,0.002206252,0.032326466,0.064261017
SummerWild_SummerLab,0.014855052,Otu00022,0.814085684,0.892507368,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.00815297,0.011418382,0.021964202,0.049417424
